id,productname,papertype,width,widthmessure,rackno,weight,deadlinestock,minimumstock
1,W123456,PLAIN PAPPER,105,mm,R1,,0,0
2,XYZ 2447,PLAIN PAPPER,100,mm,a1,,0,0
3,CA335,PLAIN PAPPER,94,mm,c3,,0,0
4,KMR,PLAIN PAPPER,100,mm,B1,,0,0
5,KMR,PLAIN PAPPER,106,mm,c3,,0,0
6,XYZ 2447,PLAIN PAPPER,208,mm,c3,,0,0
7,ABC1040,COLOUR,85,mm,D1,,0,0
8,ABC1040,PLAIN PAPPER,106,mm,E1,,0,0
9,ABC1040,YELLOW,106,mm,F1,,0,0
10,ABC1040,BLUE,106,mm,,,0,0
11,ABC1040,RED,106,mm,,,0,0
12,ABC1040,GREEN,106,mm,,,0,0
13,170 TAG,TAG,102,mm,,25,0,0
14,ABC1040,PLAIN PAPPER,208,mm,,30,0,0
15,LM51,HG POLY,83,mm,,,0,0
16,AAA,TT2C PLAIN,83,mm,,15,0,0
17,TAG,170GSM TAG,102,mm,,,0,0
18,AW2439,PLAIN PAPPER,208,mm,,1000,0,0
19,AW2439,PLAIN PAPPER,64,mm,,9.35,0,0
20,AW2439,PLAIN PAPPER,129,mm,,19.55,0,0
21,AW2439,PLAIN PAPPER,114,mm,,16.7,0,0
22,AW2439,PLAIN PAPPER,208,mm,,30.3,0,0
